GRIDID.x,X,Y,family,scientific_name,stage,obs_year,accepted_name_code,GRIDID.y
3826_255237,236500,2710500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10248
3826_269765,264500,2739500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10753
3826_154218,217500,2508500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_6144
3826_203210,209500,2606500,Erebidae,Bertula hadenalis,成蟲,2018,346065a,3826_8142
3826_175222,221500,2550500,Erebidae,Bertula hadenalis,成蟲,2018,346065a,3826_7045
3826_280321,320500,2760500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_11265
3826_198722,221500,2597500,Erebidae,Bertula hadenalis,成蟲,2012,346065a,3826_7945
3826_269273,272500,2738500,Erebidae,Bertula hadenalis,成蟲,2018,346065a,3826_10755
3826_265773,272500,2731500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10655
3826_154218,217500,2508500,Erebidae,Bertula hadenalis,成蟲,2013,346065a,3826_6144
3826_282307,306500,2764500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_11262
3826_255743,242500,2711500,Erebidae,Bertula hadenalis,成蟲,2018,346065a,3826_10249
3826_290310,309500,2780500,Erebidae,Bertula hadenalis,成蟲,2012,346065a,3826_11662
3826_286823,322500,2773500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_11465
3826_285293,292500,2770500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_11459
3826_255743,242500,2711500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10249
3826_281317,316500,2762500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_11264
3826_272273,272500,2744500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10855
3826_273786,285500,2747500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10958
3826_187199,198500,2574500,Erebidae,Bertula hadenalis,成蟲,2010,346065a,3826_7440
3826_175222,221500,2550500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_7045
3826_273304,303500,2746500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10961
3826_274305,304500,2748500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10961
3826_264779,278500,2729500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10556
3826_253248,247500,2706500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10150
3826_272276,275500,2744500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10856
3826_251728,227500,2703500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_10046
3826_237727,226500,2675500,Erebidae,Bertula hadenalis,成蟲,2013,346065a,3826_9546
3826_276802,301500,2753500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_11061
3826_280302,301500,2760500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_11261
3826_282285,284500,2764500,Erebidae,Bertula hadenalis,成蟲,2019,346065a,3826_11257
3826_286321,320500,2772500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_11465
3826_282307,306500,2764500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_11262
3826_198220,219500,2596500,Erebidae,Bertula hadenalis,成蟲,2017,346065a,3826_7944
3826_269811,310500,2739500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_10763
3826_212229,228500,2624500,Erebidae,Bertula hadenalis,成蟲,2015,346065a,3826_8446
3826_154218,217500,2508500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_6144
3826_221713,212500,2643500,Erebidae,Bertula hadenalis,幼蟲,2013,346065a,3826_8843
3826_291799,298500,2783500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_11660
3826_198717,216500,2597500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_7944
3826_219211,210500,2638500,Erebidae,Bertula hadenalis,幼蟲,2020,346065a,3826_8743
3826_289805,304500,2779500,Erebidae,Bertula hadenalis,成蟲,2014,346065a,3826_11561
3826_291304,303500,2782500,Erebidae,Bertula hadenalis,成蟲,2014,346065a,3826_11661
3826_273304,303500,2746500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_10961
3826_273786,285500,2747500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_10958
3826_257729,228500,2715500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_10346
3826_238794,293500,2677500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_9559
3826_290304,303500,2780500,Erebidae,Bertula hadenalis,成蟲,2020,346065a,3826_11661
