Family_ch,Alphabet,scientific_name
瘤蛾科,G,Gadirtha fusca
裳蛾科,A,Arctornis jonasii
尺蛾科,E,Eustroma contorta
天蛾科,A,Acherontia lachesis
草螟蛾科,E,Eoophyla gibbosalis
尺蛾科,E,Ecliptopera rectilinea kanshinensis
夜蛾科,C,Callopistria maillardi maillardi
裳蛾科,M,Mataeomera biangulata
尺蛾科,P,Percnia suffusa
尺蛾科,T,Trotocraspeda divaricata
裳蛾科,V,Vamuna alboluteora
裳蛾科,P,Pilipectus prunifera
裳蛾科,G,Garudinia taioana
裳蛾科,C,Chamaita hirta
尺蛾科,O,Odontopera albiguttulata
草螟蛾科,P,Paracymoriza cataclystalis
裳蛾科,O,Olene suisharyonis
夜蛾科,D,Diarsia nigrosigna
瘤蛾科,T,Tyana falcata
天蠶蛾科,L,Loepa mirandula
天蠶蛾科,L,Loepa formosensis
尺蛾科,A,Alcis taiwanovariegata
草螟蛾科,N,Nomophila noctuella
裳蛾科,B,Brunia antica
裳蛾科,M,Mithuna arizana
瘤蛾科,N,Narangodes confluens
斑蛾科,E,Erasmia pulchella hobsoni
裳蛾科,P,Paraona staudingeri formosana
尺蛾科,T,Tanaoctenia haliaria
尺蛾科,O,Opisthograptis moelleri
尺蛾科,C,Chlorodontopera taiwana
鉤蛾科,M,Macrocilix mysticata flavotincta
鉤蛾科,D,Ditrigona triangularia
尺蛾科,C,Cleora contiguata contiguata
樺蛾科,O,Oberthueria formosibia
鉤蛾科,N,Nordstromia semililacina
裳蛾科,C,Cabardites limbata
尺蛾科,T,Timandra dichela
尺蛾科,O,Organopoda carnearia carnearia
草螟蛾科,P,Pygospila tyres
裳蛾科,A,Artena dotata
天蛾科,D,Daphnis hypothous crameri
刺蛾科,P,Parasa shirakii
尺蛾科,C,Chorodna moorei
裳蛾科,S,Spilarctia nydia werneri
尺蛾科,P,Percnia longitermen
尺蛾科,F,Fascellina plagiata
尺蛾科,X,Xenoplia trivialis
尺蛾科,C,Corymica spatiosa
天蛾科,R,Rhagastis binoculata
夜蛾科,C,Callopistria delicata
尺蛾科,O,Ourapteryx pallidula
裳蛾科,A,Aberrasine shiou
裳蛾科,C,Calliteara postfusca
裳蛾科,T,Thysanoptyx incurvata
尺蛾科,L,Lophophelma iterans onerosus
裳蛾科,C,Cyana quadripartita
裳蛾科,N,Nyctemera carissima formosana
草螟蛾科,C,Cnaphalocrocis medinalis
裳蛾科,T,Teulisna tumida
草螟蛾科,S,Spoladea recurvalis
夜蛾科,C,Callopistria pulchrilinea
尺蛾科,C,Comostola laesaria
草潛蛾科,L,Lamprystica purpurata
天蛾科,A,Agrius convolvuli
裳蛾科,N,Nyctemera adversata
蠹蛾科,R,Rapdalus pardicolor
裳蛾科,O,Olulis puncticinctalis
裳蛾科,P,Prolophota trigonifera
裳蛾科,T,Tochara creberrima
裳蛾科,M,Metaemene atrigutta
裳蛾科,B,Bastilla arcuata
舟蛾科,D,Dudusa nobilis
裳蛾科,E,Eudocima phalonia
裳蛾科,C,Cidariplura gladiata
尺蛾科,H,Hemithea tritonaria
草螟蛾科,P,Pachynoa thoosalis
瘤蛾科,W,Westermannia elliptica elliptica
裳蛾科,H,Hydrillodes lentalis
裳蛾科,H,Hipoepa biasalis
裳蛾科,E,Egnasia nagadeboides
裳蛾科,B,Bastilla absentimacula
裳蛾科,P,Paracolax sugii
裳蛾科,C,Cerynea igniaria
裳蛾科,P,Pericyma cruegeri
天蛾科,P,Pergesa acteus
裳蛾科,O,Oxyodes scrobiculata
裳蛾科,C,Creatonotos transiens koni
刺蛾科,S,Setora baibarana
裳蛾科,P,Pindara illibata
刺蛾科,C,Chalcoscelides castaneipars
鉤蛾科,O,Oreta insignis
夜蛾科,E,Elusa ustula
裳蛾科,A,Amerila astrea
舟蛾科,F,Fentonia baibarana
裳蛾科,D,Daddala lucilla
枯葉蛾科,K,Kunugia undans metanastroides
樺蛾科,C,Comparmustilia gerontica
草螟蛾科,N,Nevrina procopia
草螟蛾科,B,Bradina diagonalis
草螟蛾科,C,Camptomastix hisbonalis
裳蛾科,H,Hypena perspicua
夜蛾科,A,Axylia putris triseriata
枯葉蛾科,P,Paradoxopla sinuata taiwana
裳蛾科,L,Leucoma clara
螟蛾科,E,Endotricha olivacealis
裳蛾科,C,Calliteara horishanella
尺蛾科,P,Pachyodes subtrita
裳蛾科,A,Aberrasine lichenshihi
瘤蛾科,C,Carea varipes varipes
尺蛾科,A,Argyrocosma inductaria
天蛾科,T,Theretra boisduvalii
夜蛾科,C,Chrysodeixis heberachis
天蛾科,A,Acosmeryx castanea
裳蛾科,S,Spilarctia subcarnea
裳蛾科,S,Spilarctia postrubida
裳蛾科,T,Trigonodes hyppasia
裳蛾科,M,Mocis frugalis
裳蛾科,A,Adrapsa quadrilinealis
裳蛾科,M,Mocis undata
草螟蛾科,N,Nausinoe perspectata
裳蛾科,B,Blasticorhinus rivulosa
天蛾科,D,Dolbina formosana
刺蛾科,N,Narosoideus flavidorsalis
奇蛾科,A,Alampla arcifraga
尺蛾科,S,Somatina rosacea anaemica
蠶蛾科,T,Trilocha varians
尺蛾科,O,Ophthalmitis herbidaria
裳蛾科,S,Schistophleps bipuncta
裳蛾科,O,Orgyia postica
裳蛾科,B,Bertula abjudicalis
天蛾科,H,Hippotion celerio
草螟蛾科,N,Nausinoe geometralis
裳蛾科,L,Lemyra imparilis
草螟蛾科,P,Pseudargyria interruptella
刺蛾科,P,Parasa consocia
鉤蛾科,T,Tridrepana flava flava
網蛾科,P,Pyrinioides sinuosus
夜蛾科,C,Callopistria repleta
裳蛾科,D,Dunira punctimargo
裳蛾科,N,Notata parva
夜蛾科,T,Thysanoplusia reticulata
裳蛾科,S,Spilarctia wilemani
裳蛾科,A,Aroana baliensis
裳蛾科,N,Nanarsine semilutea
尺蛾科,X,Xanthorhoe saturata
瘤蛾科,M,Meganola triangulalis
裳蛾科,M,Miltochrista arcuata
天蛾科,T,Theretra lucasii
草螟蛾科,D,Drosophantis caeruleata
草螟蛾科,N,Nacoleia charesalis
裳蛾科,I,Ilema olivacea
草螟蛾科,C,Cataclysta angulata
舟蛾科,L,Liparopsis postalbida
草螟蛾科,P,Polythlipta divaricata
尺蛾科,T,Tanaorhinus viridiluteata
尺蛾科,H,Hypomecis percnioides
尺蛾科,P,Parobeidia gigantearia marginifascia
天蛾科,C,Cechetra lineosa
螟蛾科,P,Pyralis regalis
尺蛾科,R,Racotis boarmiaria
尺蛾科,K,Krananda semihyalina
尺蛾科,P,Prochasma squalida
螟蛾科,O,Orthaga olivacea
草螟蛾科,D,Discothyris ferruginata
裳蛾科,B,Barsine sauteri
夜蛾科,A,Aedia perdicipennis
刺蛾科,P,Phrixolepia inouei
草螟蛾科,C,Callibotys carapina
尺蛾科,S,Sarcinodes yeni
尺蛾科,C,Chorodna creataria
裳蛾科,E,Eilema pulverea
草螟蛾科,G,Glyphodes crithealis
尺蛾科,M,Metallaxis semiustus
尺蛾科,K,Krananda lucidaria
鉤蛾科,P,Phalacra kagiensis
燕蛾科,P,Phazaca kosemponicola
尺蛾科,S,Scopula yamanei
裳蛾科,C,Calliteara lunulata takamukuana
尺蛾科,C,Cleora fraterna
尺蛾科,L,Lophobates inchoata
舟蛾科,S,Syntypistis subgeneris subgeneris
斑蛾科,P,Piarosoma fushan
草螟蛾科,E,Eoophyla conjunctalis
尺蛾科,I,Idaea paraula
草螟蛾科,M,Mabra nigriscripta
刺蛾科,O,Orthocraspeda furva
裳蛾科,E,Eugoa brunnea
刺蛾科,M,Monema rubriceps
草螟蛾科,H,Hymenia perspectalis
夜蛾科,C,Callopistria phaeogona
枯葉蛾科,D,Dendrolimus arizana
裳蛾科,B,Bocula diffisa
簑蛾科,E,Eumeta pryeri
捲葉蛾科,C,Cerace stipatana formosana
草螟蛾科,S,Strepsinoma croesusalis
裳蛾科,F,Floridasura tricolor
裳蛾科,H,Hydrillodes nilgirialis
裳蛾科,A,Asota tortuosa
舟蛾科,G,Ginshachia elongata
夜蛾科,X,Xenotrachea albidisca pseudodisca
夜蛾科,S,Sesamia submarginalis
尺蛾科,C,Cleora alienaria
裳蛾科,N,Nephelomilta karenkonis
裳蛾科,D,Diduga taiwana
舟蛾科,D,Disparia wilemani
裳蛾科,H,Hyposada fasciosa
草螟蛾科,G,Gargela renatusalis
尺蛾科,L,Lipomelia subusta
裳蛾科,A,Asota plana lacteata
裳蛾科,S,Sophta diplochorda
裳蛾科,P,Pelosia muscerda tetrasticta
裳蛾科,B,Barsura albidorsalis
裳蛾科,L,Lymantria concolor concolor
鉤蛾科,C,Callidrepana patrana
尺蛾科,P,Psilalcis albibasis
瘤蛾科,T,Tympanistes fusimargo
夜蛾科,D,Discibocome pulchra
尺蛾科,C,Celenna festivaria formosensis
瘤蛾科,S,Siglophora ferreilutea
螟蛾科,O,Orybina flaviplaga
螟蛾科,E,Endotricha mesenterialis
裳蛾科,A,Artaxa kanshireia
天蛾科,T,Theretra nessus nessus
天蛾科,P,Polyptychus chinensis chinensis
草螟蛾科,A,Agrioglypta itysalis
夜蛾科,C,Ctenoplusia albostriata
舞蛾科,C,Choreutis xanthogramma
尺蛾科,L,Luxiaria costinota
裳蛾科,C,Calliteara arizana
樺蛾科,P,Prismosticta fenestrata
舟蛾科,N,Notodonta griseotincta
尺蛾科,H,Harutalcis fumigata
尺蛾科,P,Parectropis subflava
裳蛾科,H,Herminia terminalis
裳蛾科,C,Cyana subalba
尺蛾科,M,Menophra anaplagiata
尺蛾科,D,Deileptenia rimosaria
裳蛾科,A,Avatha chinensis
裳蛾科,P,Pida decolorata maculosa
舟蛾科,P,Periergos magna
裳蛾科,N,Nudaria ranruna
尺蛾科,D,Dindica taiwana
尺蛾科,T,Tyloptera bella ogatai
裳蛾科,M,Metaemene hampsoni
夜蛾科,C,Callopistria japonibia
草螟蛾科,E,Eugauria albidentata
瘤蛾科,G,Gabala argentata
裳蛾科,D,Dichromia indicatalis
天蛾科,H,Hippotion rosetta
尺蛾科,A,Arichanna marginata
尺蛾科,A,Acolutha pictaria imbecilla
尺蛾科,D,Dilophodes elegans khasiana
舟蛾科,C,Clostera anachoreta
